Datafile: Demo6Waveforms, Trai: 1, Chan:1
Time (microsec)	Amplitude (mV)
0.000	-0.003
0.600	-0.018
1.200	-0.015
1.800	-0.006
2.400	-0.003
3.000	0.012
3.600	0.021
4.200	0.012
4.800	0.000
5.400	-0.006
6.000	0.000
6.600	-0.012
7.200	-0.009
7.800	-0.006
8.400	-0.058
9.000	0.402
9.600	1.772
10.200	-3.851
10.800	-16.026
11.400	-4.311
12.000	44.788
12.600	65.055
13.200	-38.653
13.800	-82.147
14.400	-63.457
15.000	-51.617
15.600	91.963
16.200	99.760
16.800	76.238
17.400	58.032
18.000	-83.049
18.600	-99.760
19.200	-94.609
19.800	-82.644
20.400	73.687
21.000	99.760
21.600	99.760
22.200	87.369
22.800	-91.135
23.400	-99.760
24.000	-93.160
24.600	-62.568
25.200	99.760
25.800	99.760
26.400	89.360
27.000	41.692
27.600	-99.760
28.200	-99.760
28.800	-97.142
29.400	-26.755
30.000	99.760
30.600	99.760
31.200	96.362
31.800	16.693
32.400	-99.760
33.000	-96.070
33.600	-82.080
34.200	-19.951
34.800	99.684
35.400	99.760
36.000	93.440
36.600	28.244
37.200	-99.760
37.800	-99.760
38.400	-89.077
39.000	-36.193
39.600	95.242
40.200	99.760
40.800	89.887
41.400	43.713
42.000	-78.241
42.600	-99.760
43.200	-99.760
43.800	-14.918
44.400	94.456
45.000	99.760
45.600	70.618
46.200	-13.600
46.800	-66.310
47.400	-78.043
48.000	-52.427
48.600	-10.927
49.200	33.109
49.800	65.725
50.400	65.488
51.000	31.733
51.600	-10.291
52.200	-42.931
52.800	-59.581
53.400	-55.371
54.000	-31.267
54.600	8.257
55.200	48.064
55.800	64.638
56.400	50.880
57.000	15.984
57.600	-22.240
58.200	-47.257
58.800	-51.882
59.400	-36.406
60.000	-4.448
60.600	35.091
61.200	65.874
61.800	62.078
62.400	13.018
63.000	-54.777
63.600	-87.515
64.200	-58.449
64.800	12.023
65.400	72.758
66.000	79.992
66.600	27.468
67.200	-46.085
67.800	-84.163
68.400	-57.536
69.000	12.830
69.600	70.158
70.200	71.397
70.800	22.493
71.400	-32.747
72.000	-53.090
72.600	-32.114
73.200	2.405
73.800	20.995
74.400	15.908
75.000	4.829
75.600	4.226
76.200	8.266
76.800	3.550
77.400	-12.842
78.000	-28.305
78.600	-26.734
79.200	-4.089
79.800	26.104
80.400	42.483
81.000	31.139
81.600	-2.253
82.200	-34.668
82.800	-40.550
83.400	-17.022
84.000	15.430
84.600	29.961
85.200	17.847
85.800	-5.474
86.400	-16.093
87.000	-5.894
87.600	11.542
88.200	14.626
88.800	-0.999
89.400	-19.607
90.000	-21.580
90.600	-4.545
91.200	17.278
91.800	24.953
92.400	11.250
93.000	-12.574
93.600	-25.029
94.200	-14.294
94.800	11.326
95.400	29.039
96.000	21.665
96.600	-6.637
97.200	-34.242
97.800	-36.470
98.400	-11.061
99.000	22.283
99.600	40.958
100.200	33.462
100.800	6.692
101.400	-21.220
102.000	-31.916
102.600	-21.233
103.200	-0.411
103.800	14.580
104.400	13.493
105.000	0.725
105.600	-10.772
106.200	-10.519
106.800	0.457
107.400	12.620
108.000	17.092
108.600	11.597
109.200	-1.413
109.800	-15.427
110.400	-20.213
111.000	-12.623
111.600	1.501
112.200	14.084
112.800	17.192
113.400	10.306
114.000	-0.268
114.600	-8.835
115.200	-12.215
115.800	-9.146
116.400	-1.903
117.000	5.660
117.600	8.546
118.200	3.775
118.800	-2.661
119.400	-3.182
120.000	1.367
120.600	5.593
121.200	5.090
121.800	-0.146
122.400	-6.077
123.000	-9.018
123.600	-8.430
124.200	-4.198
124.800	3.054
125.400	9.776
126.000	11.676
126.600	7.462
127.200	-0.082
127.800	-6.144
128.400	-8.211
129.000	-7.541
129.600	-4.567
130.200	0.859
130.800	6.561
131.400	10.501
132.000	9.645
132.600	2.503
133.200	-6.680
133.800	-12.461
134.400	-12.056
135.000	-5.605
135.600	3.081
136.200	8.175
136.800	7.386
137.400	3.054
138.000	-0.344
138.600	0.670
139.200	3.425
139.800	2.971
140.400	-1.203
141.000	-5.791
141.600	-6.655
142.200	-2.223
142.800	3.547
143.400	5.407
144.000	2.165
144.600	-3.589
145.200	-6.360
145.800	-3.224
146.400	2.472
147.000	5.261
147.600	2.993
148.200	-1.991
148.800	-4.914
149.400	-2.990
150.000	2.344
150.600	7.879
151.200	9.590
151.800	4.722
152.400	-5.191
153.000	-13.283
153.600	-12.233
154.200	-2.003
154.800	9.511
155.400	12.400
156.000	5.200
156.600	-4.518
157.200	-8.933
157.800	-6.202
158.400	-0.365
159.000	3.519
159.600	3.425
160.200	0.916
160.800	-0.834
161.400	-0.037
162.000	2.509
162.600	4.338
163.200	3.486
163.800	0.049
164.400	-3.395
165.000	-4.058
165.600	-2.283
166.200	-1.227
166.800	-2.098
167.400	-2.813
168.000	-1.556
168.600	0.715
169.200	1.678
169.800	1.595
170.400	2.627
171.000	4.826
171.600	5.873
172.200	3.970
172.800	-0.268
173.400	-4.491
174.000	-6.990
174.600	-7.203
175.200	-4.609
175.800	0.594
176.400	5.867
177.000	7.118
177.600	3.026
178.200	-2.853
178.800	-5.328
179.400	-2.831
180.000	1.309
180.600	3.032
181.200	1.574
181.800	-0.268
182.400	-0.033
183.000	1.592
183.600	2.165
184.200	0.502
184.800	-2.244
185.400	-3.934
186.000	-2.710
186.600	1.227
187.200	4.655
187.800	3.797
188.400	-1.053
189.000	-5.696
189.600	-5.751
190.200	-1.288
190.800	3.419
191.400	4.378
192.000	1.687
192.600	-1.312
193.200	-1.480
193.800	0.880
194.400	3.398
195.000	4.022
195.600	2.079
196.200	-1.349
196.800	-4.177
197.400	-4.695
198.000	-2.825
198.600	-0.155
199.200	0.253
199.800	-3.224
200.400	-5.894
201.000	-0.731
201.600	12.361
202.200	22.122
202.800	16.026
203.400	-6.597
204.000	-31.782
204.600	-39.271
205.200	-21.625
205.800	12.808
206.400	44.347
207.000	55.015
207.600	37.521
208.200	-1.583
208.800	-44.560
209.400	-69.689
210.000	-60.607
210.600	-18.206
211.200	38.428
211.800	77.084
212.400	71.985
213.000	21.732
213.600	-43.789
214.200	-81.359
214.800	-67.415
215.400	-9.834
216.000	56.135
216.600	89.001
217.200	68.015
217.800	4.950
218.400	-60.781
219.000	-88.532
219.600	-65.323
220.200	-8.263
220.800	47.693
221.400	71.641
222.000	53.547
222.600	7.012
223.200	-38.979
223.800	-58.035
224.400	-41.287
225.000	-1.955
225.600	36.751
226.200	53.057
226.800	39.466
227.400	5.206
228.000	-30.451
228.600	-46.560
229.200	-35.801
229.800	-6.190
230.400	24.314
231.000	38.002
231.600	27.526
232.200	1.178
232.800	-24.533
233.400	-34.561
234.000	-24.734
234.600	-3.873
235.200	16.471
235.800	27.596
236.400	25.900
237.000	14.069
237.600	-1.939
238.200	-15.658
238.800	-21.290
239.400	-16.635
240.000	-4.092
240.600	10.361
241.200	19.327
241.800	17.165
242.400	4.804
243.000	-11.539
243.600	-23.166
244.200	-22.779
244.800	-10.628
245.400	6.792
246.000	20.849
246.600	24.323
247.200	16.227
247.800	1.370
248.400	-12.933
249.000	-20.191
249.600	-16.760
250.200	-4.731
250.800	10.071
251.400	19.975
252.000	18.596
252.600	5.852
253.200	-11.785
253.800	-23.756
254.400	-21.370
255.000	-6.001
255.600	13.058
256.200	23.805
256.800	19.010
257.400	2.707
258.000	-14.130
258.600	-20.255
259.200	-12.720
259.800	1.821
260.400	13.773
261.000	16.023
261.600	8.579
262.200	-2.895
262.800	-11.788
263.400	-13.496
264.000	-7.794
264.600	1.681
265.200	10.193
265.800	13.527
266.400	9.934
267.000	0.901
267.600	-9.173
268.200	-15.153
268.800	-13.061
269.400	-4.019
270.000	6.826
270.600	13.646
271.200	13.000
271.800	6.086
272.400	-2.363
273.000	-7.785
273.600	-8.421
274.200	-5.721
274.800	-2.289
275.400	0.350
276.000	2.299
276.600	4.229
277.200	5.721
277.800	4.947
278.400	1.035
279.000	-4.287
279.600	-7.429
280.200	-5.675
280.800	-0.155
281.400	5.264
282.000	6.762
282.600	3.245
283.200	-2.679
283.800	-6.199
284.400	-4.466
285.000	1.303
285.600	6.917
286.200	7.514
286.800	2.073
287.400	-5.882
288.000	-11.043
288.600	-9.347
289.200	-1.958
289.800	6.442
290.400	10.933
291.000	9.280
291.600	3.376
292.200	-2.871
292.800	-6.372
293.400	-6.056
294.000	-3.072
294.600	0.368
295.200	2.436
295.800	2.454
296.400	0.965
297.000	-0.630
297.600	-1.063
298.200	-0.286
298.800	0.715
299.400	0.776
300.000	-0.411
300.600	-1.878
301.200	-2.171
301.800	-0.652
302.400	1.961
303.000	4.016
303.600	3.888
304.200	1.534
304.800	-1.687
305.400	-3.973
306.000	-4.071
306.600	-2.149
